City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
329,Ponta Do Sol,PT,32.6667,-17.1,73.0,63,8,0.94,clear sky
330,Muroto,JP,33.2833,134.15,61.32,79,79,4.38,broken clouds
331,Krasnyy Klyuch,RU,55.3863,56.6529,37.2,50,0,8.9,clear sky
332,Faanui,PF,-16.4833,-151.75,83.12,76,96,18.05,light rain
333,Progreso,MX,21.2833,-89.6667,79.11,73,1,11.39,clear sky
334,Gejiu,CN,23.306,103.1635,57.04,78,0,4.56,clear sky
335,Ekimchan,RU,53.0667,132.9667,21.06,91,100,4.85,overcast clouds
336,Saint-Georges,GD,12.0564,-61.7485,83.88,65,40,21.85,scattered clouds
337,Kita,ML,13.0349,-9.4895,105.03,8,66,2.39,broken clouds
338,Durango,MX,24.8333,-104.8333,52.56,35,1,3.22,clear sky
339,Labuan,MY,5.2767,115.2417,79.16,83,20,0.0,few clouds
340,Fukuma,JP,33.7667,130.4667,57.2,68,12,17.83,few clouds
341,Coari,BR,-4.085,-63.1414,81.3,75,82,4.09,broken clouds
342,Hambantota,LK,6.1241,81.1185,81.28,74,95,11.92,overcast clouds
343,Hohhot,CN,40.8106,111.6522,35.89,44,0,4.47,clear sky
344,Marsa Matruh,EG,31.3525,27.2453,64.06,63,87,12.73,overcast clouds
